"measure_id","plot_id","year","tree_id","code_status","code_diam","dbh","h_tot","crown_h1","crown_h2","crown_h3","crown_h4","crown_r1","crown_r2","crown_r3","crown_r4","stratum"
"01Aillon158","Aillon",2001,"158Aillon","0000",1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon159","Aillon",2001,"159Aillon","0000",1,70,32.5,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon160","Aillon",2001,"160Aillon","0000",1,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon161","Aillon",2001,"161Aillon","0000",1,76,34.6,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon162","Aillon",2001,"162Aillon","0000",1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon163","Aillon",2001,"163Aillon","0000",1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon164","Aillon",2001,"164Aillon","0000",1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon165","Aillon",2001,"165Aillon","0000",1,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon166","Aillon",2001,"166Aillon","0000",1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon167","Aillon",2001,"167Aillon","0000",1,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon168","Aillon",2001,"168Aillon","0000",1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon169","Aillon",2001,"169Aillon","0000",1,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,3
"01Aillon170","Aillon",2001,"170Aillon","0000",1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
"01Aillon171","Aillon",2001,"171Aillon","0000",1,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon172","Aillon",2001,"172Aillon","0000",1,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon173","Aillon",2001,"173Aillon","0000",1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,4
"01Aillon174","Aillon",2001,"174Aillon","0000",1,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon175","Aillon",2001,"175Aillon","0000",1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
"01Aillon176","Aillon",2001,"176Aillon","0000",1,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
